"","date","coef","coef_correction"
"1",2014-08-01,-0.81,0.854
"2",2014-08-02,-1.34,0.759
"3",2014-08-03,-1.28,0.77
"4",2014-08-04,-0.9,0.838
"5",2014-08-05,-1.09,0.804
"6",2014-08-06,-1.46,0.737
"7",2014-08-07,-1.43,0.743
"8",2014-08-08,-1.5,0.73
"9",2014-08-09,-1.72,0.69
"10",2014-08-10,-1.56,0.719
"11",2014-08-11,-1.29,0.768
"12",2014-08-12,-1.27,0.771
"13",2014-08-13,-1.36,0.755
"14",2014-08-14,-1.18,0.788
"15",2014-08-15,-1.64,0.705
"16",2014-08-16,-1.33,0.761
"17",2014-08-17,-1.15,0.793
"18",2014-08-18,-0.93,0.833
"19",2014-08-19,-1.09,0.804
"20",2014-08-20,-1.06,0.809
"21",2014-08-21,-0.22,0.96
"22",2014-08-22,-1.36,0.755
"23",2014-08-23,-0.87,0.843
"24",2014-08-24,-0.6,0.892
"25",2014-08-25,-0.38,0.932
"26",2014-08-26,-0.25,0.955
"27",2014-08-27,-0.34,0.939
"28",2014-08-28,-0.56,0.899
"29",2014-08-29,-0.48,0.914
"30",2014-08-30,-0.81,0.854
"31",2014-08-31,-0.76,0.863
"32",2014-09-01,-0.36,0.935
"33",2014-09-02,1.18,NA
"34",2014-09-03,-0.18,0.968
"35",2014-09-04,-0.03,0.995
"36",2014-09-05,-0.01,0.998
"37",2014-09-06,-0.18,0.968
"38",2014-09-07,-0.23,0.959
"39",2014-09-08,-0.29,0.948
"40",2014-09-09,-0.37,0.933
"41",2014-09-10,-0.19,0.966
"42",2014-09-11,-0.17,0.969
"43",2014-09-12,-0.24,0.957
"44",2014-09-13,-0.36,0.935
"45",2014-09-14,-0.23,0.959
"46",2014-09-15,-0.15,0.973
"47",2014-09-16,0.1,NA
"48",2014-09-17,-0.11,0.98
"49",2014-09-18,-0.08,0.986
"50",2014-09-19,-0.3,0.946
"51",2014-09-20,-0.19,0.966
"52",2014-09-21,-0.1,0.982
"53",2014-09-22,0.57,NA
"54",2014-09-23,1.48,NA
"55",2014-09-24,1.52,NA
"56",2014-09-25,1.68,NA
"57",2014-09-26,2.31,NA
"58",2014-09-27,2.21,NA
"59",2014-09-28,1.94,NA
"60",2014-09-29,1.37,NA
"61",2014-09-30,1.13,NA
"62",2014-10-01,1.11,NA
"63",2014-10-02,1.34,NA
"64",2014-10-03,1.71,NA
"65",2014-10-04,2.65,NA
"66",2014-10-05,2.88,NA
"67",2014-10-06,2.67,NA
"68",2014-10-07,2.8,NA
"69",2014-10-08,2.1,NA
"70",2014-10-09,0.93,NA
"71",2014-10-10,0.51,NA
"72",2014-10-11,0.77,NA
"73",2014-10-12,0.69,NA
"74",2014-10-13,0.19,NA
"75",2014-10-14,0.58,NA
"76",2014-10-15,1.08,NA
"77",2014-10-16,1.65,NA
"78",2014-10-17,2.04,NA
"79",2014-10-18,3.28,NA
"80",2014-10-19,2.54,NA
"81",2014-10-20,1.74,NA
"82",2014-10-21,2.58,NA
"83",2014-10-22,4.01,NA
"84",2014-10-23,7.19,NA
"85",2014-10-24,9.21,NA
"86",2014-10-25,11.38,NA
"87",2014-10-26,10.11,NA
"88",2014-10-27,9.23,NA
"89",2014-10-28,9.49,NA
"90",2014-10-29,10.05,NA
"91",2014-10-30,9.81,NA
"92",2014-10-31,9.72,NA
"93",2014-11-01,8.67,NA
"94",2014-11-02,7.83,NA
"95",2014-11-03,7.24,NA
"96",2014-11-04,6.67,NA
"97",2014-11-05,5.79,NA
"98",2014-11-06,4.98,NA
"99",2014-11-07,5.75,NA
"100",2014-11-08,6.78,NA
"101",2014-11-09,6.78,NA
"102",2014-11-10,5.72,NA
"103",2014-11-11,5.71,NA
"104",2014-11-12,6.13,NA
"105",2014-11-13,6.87,NA
"106",2014-11-14,7.4,NA
"107",2014-11-15,9.1,NA
"108",2014-11-16,9.52,NA
"109",2014-11-17,9.84,NA
"110",2014-11-18,11.63,NA
"111",2014-11-19,12.31,NA
"112",2014-11-20,12.66,NA
"113",2014-11-21,12.95,NA
"114",2014-11-22,13.18,NA
"115",2014-11-23,13.37,NA
"116",2014-11-24,13.37,NA
"117",2014-11-25,14.19,NA
"118",2014-11-26,13.47,NA
"119",2014-11-27,14.61,NA
"120",2014-11-28,17.81,NA
"121",2014-11-29,20.31,NA
"122",2014-11-30,20.95,NA
"123",2014-12-01,23.31,NA
"124",2014-12-02,22.3,NA
"125",2014-12-03,20.29,NA
"126",2014-12-04,19.05,NA
"127",2014-12-05,19.18,NA
"128",2014-12-06,18.03,NA
"129",2014-12-07,16.94,NA
"130",2014-12-08,16.69,NA
"131",2014-12-09,17.43,NA
"132",2014-12-10,18.85,NA
"133",2014-12-11,17.82,NA
"134",2014-12-12,15.74,NA
"135",2014-12-13,14.5,NA
"136",2014-12-14,14.37,NA
"137",2014-12-15,13.22,NA
"138",2014-12-16,12.73,NA
"139",2014-12-17,13.91,NA
"140",2014-12-18,13.27,NA
"141",2014-12-19,11.09,NA
"142",2014-12-20,13.48,NA
"143",2014-12-21,14.51,NA
"144",2014-12-22,13.78,NA
"145",2014-12-23,13.55,NA
"146",2014-12-24,13.25,NA
"147",2014-12-25,12.25,NA
"148",2014-12-26,16.43,NA
"149",2014-12-27,20.43,NA
"150",2014-12-28,22.81,NA
"151",2014-12-29,24.11,NA
"152",2014-12-30,25.62,NA
"153",2014-12-31,23.37,NA
"154",2015-01-01,19.77,NA
"155",2015-01-02,18.16,NA
"156",2015-01-03,17.98,NA
"157",2015-01-04,19.75,NA
"158",2015-01-05,18.99,NA
"159",2015-01-06,20.95,NA
"160",2015-01-07,24.79,NA
"161",2015-01-08,22.15,NA
"162",2015-01-09,18.79,NA
"163",2015-01-10,15.91,NA
"164",2015-01-11,17.25,NA
"165",2015-01-12,16.47,NA
"166",2015-01-13,14.34,NA
"167",2015-01-14,14.09,NA
"168",2015-01-15,14.86,NA
"169",2015-01-16,13.46,NA
"170",2015-01-17,13.98,NA
"171",2015-01-18,15.11,NA
"172",2015-01-19,16.43,NA
"173",2015-01-20,16.79,NA
"174",2015-01-21,16.36,NA
"175",2015-01-22,16.65,NA
"176",2015-01-23,17.31,NA
"177",2015-01-24,17.96,NA
"178",2015-01-25,18.4,NA
"179",2015-01-26,18.35,NA
"180",2015-01-27,18.84,NA
"181",2015-01-28,18.07,NA
"182",2015-01-29,18.24,NA
"183",2015-01-30,17.72,NA
"184",2015-01-31,16.91,NA
"185",2015-02-01,17.15,NA
"186",2015-02-02,19.13,NA
"187",2015-02-03,18.78,NA
"188",2015-02-04,19.38,NA
"189",2015-02-05,20.26,NA
"190",2015-02-06,21.26,NA
"191",2015-02-07,21.07,NA
"192",2015-02-08,20.7,NA
"193",2015-02-09,19.66,NA
"194",2015-02-10,18.12,NA
"195",2015-02-11,19.55,NA
"196",2015-02-12,16.84,NA
"197",2015-02-13,16.51,NA
"198",2015-02-14,16.34,NA
"199",2015-02-15,17.17,NA
"200",2015-02-16,19.7,NA
"201",2015-02-17,19.82,NA
"202",2015-02-18,20.41,NA
"203",2015-02-19,16.82,NA
"204",2015-02-20,15.55,NA
"205",2015-02-21,15.58,NA
"206",2015-02-22,14.8,NA
"207",2015-02-23,13.49,NA
"208",2015-02-24,13.15,NA
"209",2015-02-25,13.44,NA
"210",2015-02-26,14.32,NA
"211",2015-02-27,12.82,NA
"212",2015-02-28,12.93,NA
"213",2015-03-01,12.88,NA
"214",2015-03-02,13.93,NA
"215",2015-03-03,15.16,NA
"216",2015-03-04,15.72,NA
"217",2015-03-05,16.01,NA
"218",2015-03-06,18.01,NA
"219",2015-03-07,14.2,NA
"220",2015-03-08,11.17,NA
"221",2015-03-09,10.07,NA
"222",2015-03-10,10.27,NA
"223",2015-03-11,12.5,NA
"224",2015-03-12,12.96,NA
"225",2015-03-13,14.04,NA
"226",2015-03-14,14.2,NA
"227",2015-03-15,12.48,NA
"228",2015-03-16,10.85,NA
"229",2015-03-17,9.91,NA
"230",2015-03-18,10.57,NA
"231",2015-03-19,11.49,NA
"232",2015-03-20,10.99,NA
"233",2015-03-21,10.46,NA
"234",2015-03-22,13.4,NA
"235",2015-03-23,12.1,NA
"236",2015-03-24,9.99,NA
"237",2015-03-25,6.51,NA
"238",2015-03-26,6.36,NA
"239",2015-03-27,7.29,NA
"240",2015-03-28,9.12,NA
"241",2015-03-29,8.85,NA
"242",2015-03-30,9.23,NA
"243",2015-03-31,11.6,NA
"244",2015-04-01,13.59,NA
"245",2015-04-02,14.71,NA
"246",2015-04-03,15.11,NA
"247",2015-04-04,14.49,NA
"248",2015-04-05,12.53,NA
"249",2015-04-06,12.99,NA
"250",2015-04-07,12.35,NA
"251",2015-04-08,11.18,NA
"252",2015-04-09,8.68,NA
"253",2015-04-10,5.82,NA
"254",2015-04-11,4.36,NA
"255",2015-04-12,4.55,NA
"256",2015-04-13,6.02,NA
"257",2015-04-14,6.86,NA
"258",2015-04-15,5.06,NA
"259",2015-04-16,4.45,NA
"260",2015-04-17,6.13,NA
"261",2015-04-18,8.95,NA
"262",2015-04-19,8.6,NA
"263",2015-04-20,7.3,NA
"264",2015-04-21,5.84,NA
"265",2015-04-22,4.86,NA
"266",2015-04-23,3.44,NA
"267",2015-04-24,2.55,NA
"268",2015-04-25,1.72,NA
"269",2015-04-26,1.55,NA
"270",2015-04-27,0.51,NA
"271",2015-04-28,1.91,NA
"272",2015-04-29,3.06,NA
"273",2015-04-30,2.67,NA
"274",2015-05-01,3.75,NA
"275",2015-05-02,3.06,NA
"276",2015-05-03,2.4,NA
"277",2015-05-04,1.59,NA
"278",2015-05-05,0.45,NA
"279",2015-05-06,0.3,NA
"280",2015-05-07,0.51,NA
"281",2015-05-08,0.53,NA
"282",2015-05-09,0.96,NA
"283",2015-05-10,1.49,NA
"284",2015-05-11,0.92,NA
"285",2015-05-12,0.27,NA
"286",2015-05-13,0.36,NA
"287",2015-05-14,1.29,NA
"288",2015-05-15,1.19,NA
"289",2015-05-16,1.38,NA
"290",2015-05-17,1.65,NA
"291",2015-05-18,0.57,NA
"292",2015-05-19,0.05,NA
"293",2015-05-20,0.28,NA
"294",2015-05-21,0.71,NA
"295",2015-05-22,0.53,NA
"296",2015-05-23,0.83,NA
"297",2015-05-24,1.42,NA
"298",2015-05-25,0.3,NA
"299",2015-05-26,0.45,NA
"300",2015-05-27,1.13,NA
"301",2015-05-28,1.18,NA
"302",2015-05-29,0.49,NA
"303",2015-05-30,0.6,NA
"304",2015-05-31,0.52,NA
"305",2015-06-01,-0.5,0.91
"306",2015-06-02,-0.57,0.897
"307",2015-06-03,-1.21,0.782
"308",2015-06-04,-0.49,0.912
"309",2015-06-05,-1.12,0.798
"310",2015-06-06,-0.91,0.836
"311",2015-06-07,-0.78,0.86
"312",2015-06-08,-1.16,0.791
"313",2015-06-09,-0.76,0.863
"314",2015-06-10,-0.67,0.879
"315",2015-06-11,-0.72,0.87
"316",2015-06-12,-0.88,0.842
"317",2015-06-13,-0.64,0.885
"318",2015-06-14,-0.87,0.843
"319",2015-06-15,-1.27,0.771
"320",2015-06-16,-0.87,0.843
"321",2015-06-17,-0.73,0.869
"322",2015-06-18,-0.59,0.894
"323",2015-06-19,-0.4,0.928
"324",2015-06-20,0.24,NA
"325",2015-06-21,0,NA
"326",2015-06-22,-0.78,0.86
"327",2015-06-23,-0.33,0.941
"328",2015-06-24,-0.19,0.966
"329",2015-06-25,-0.33,0.941
"330",2015-06-26,-0.53,0.905
"331",2015-06-27,-0.46,0.917
"332",2015-06-28,-0.53,0.905
"333",2015-06-29,-1.08,0.806
"334",2015-06-30,-1.04,0.813
"335",2015-07-01,-1.01,0.818
"336",2015-07-02,-1.19,0.786
"337",2015-07-03,-1.26,0.773
"338",2015-07-04,-1.08,0.806
"339",2015-07-05,-1.44,0.741
"340",2015-07-06,-1.76,0.683
"341",2015-07-07,-1.6,0.712
"342",2015-07-08,-1.49,0.732
"343",2015-07-09,-1.44,0.741
"344",2015-07-10,-1.16,0.791
"345",2015-07-11,-0.67,0.879
"346",2015-07-12,-0.92,0.834
"347",2015-07-13,-1.3,0.766
"348",2015-07-14,-1.19,0.786
"349",2015-07-15,-1.09,0.804
"350",2015-07-16,-0.97,0.825
"351",2015-07-17,-1.23,0.779
"352",2015-07-18,-1.41,0.746
"353",2015-07-19,-1.36,0.755
"354",2015-07-20,-1.63,0.707
"355",2015-07-21,-1.43,0.743
"356",2015-07-22,-1.48,0.734
"357",2015-07-23,-1.62,0.708
"358",2015-07-24,-1.65,0.703
"359",2015-07-25,-1.26,0.773
"360",2015-07-26,-1.31,0.764
"361",2015-07-27,-1.62,0.708
"362",2015-07-28,-1.36,0.755
"363",2015-07-29,-1.34,0.759
"364",2015-07-30,-1.18,0.788
"365",2015-07-31,-1.01,0.818
"366",2015-08-01,-0.82,0.852
"367",2015-08-02,-1.12,0.798
"368",2015-08-03,-1.44,0.741
"369",2015-08-04,-1.63,0.707
"370",2015-08-05,-1.61,0.71
"371",2015-08-06,-1.72,0.69
"372",2015-08-07,-1.91,0.656
"373",2015-08-08,-1.85,0.667
"374",2015-08-09,-2.03,0.635
"375",2015-08-10,-2.28,0.59
"376",2015-08-11,-2.16,0.611
"377",2015-08-12,-2.19,0.606
"378",2015-08-13,-2.1,0.622
"379",2015-08-14,-1.8,0.676
"380",2015-08-15,-2.04,0.633
"381",2015-08-16,-1.96,0.647
"382",2015-08-17,-1.82,0.672
"383",2015-08-18,-1.54,0.723
"384",2015-08-19,-1.19,0.786
"385",2015-08-20,-1.34,0.759
"386",2015-08-21,-1.19,0.786
"387",2015-08-22,-1.02,0.816
"388",2015-08-23,-1.03,0.815
"389",2015-08-24,-1.35,0.757
"390",2015-08-25,-1.25,0.775
"391",2015-08-26,-1.19,0.786
"392",2015-08-27,-1.15,0.793
"393",2015-08-28,-1.31,0.764
"394",2015-08-29,-1.17,0.789
"395",2015-08-30,-0.99,0.822
"396",2015-08-31,-1.73,0.689
"397",2015-09-01,-1.6,0.712
"398",2015-09-02,-1.4,0.748
"399",2015-09-03,-1.26,0.773
"400",2015-09-04,-1.14,0.795
"401",2015-09-05,-0.71,0.872
"402",2015-09-06,-0.47,0.915
"403",2015-09-07,-0.88,0.842
"404",2015-09-08,-0.4,0.928
"405",2015-09-09,0.02,NA
"406",2015-09-10,-0.19,0.966
"407",2015-09-11,-0.53,0.905
"408",2015-09-12,-0.03,0.995
"409",2015-09-13,-0.11,0.98
"410",2015-09-14,-0.7,0.874
"411",2015-09-15,-0.99,0.822
"412",2015-09-16,-0.98,0.824
"413",2015-09-17,-1.22,0.78
"414",2015-09-18,-1.19,0.786
"415",2015-09-19,-0.41,0.926
"416",2015-09-20,-0.03,0.995
"417",2015-09-21,-0.63,0.887
"418",2015-09-22,0.1,NA
"419",2015-09-23,-0.11,0.98
"420",2015-09-24,-0.49,0.912
"421",2015-09-25,-0.22,0.96
"422",2015-09-26,0.74,NA
"423",2015-09-27,0.99,NA
"424",2015-09-28,0.71,NA
"425",2015-09-29,1.48,NA
"426",2015-09-30,1.48,NA
"427",2017-09-30,3.23,NA
"428",2018-05-01,-0.74,0.86
"429",2018-05-02,-0.72,0.863
"430",2018-05-03,-0.6,0.885
"431",2018-05-04,-0.84,0.84
"432",2018-05-05,-0.05,0.991
"433",2018-05-06,0.02,NA
"434",2018-05-07,-0.57,0.892
"435",2018-05-08,-0.66,0.874
"436",2018-05-09,-0.84,0.84
"437",2018-05-10,-0.98,0.813
"438",2018-05-11,-1.05,0.8
"439",2018-05-12,-0.52,0.902
"440",2018-05-13,-0.54,0.897
"441",2018-05-14,-0.94,0.821
"442",2018-05-15,-0.84,0.84
"443",2018-05-16,-0.63,0.88
"444",2018-05-17,-0.25,0.953
"445",2018-05-18,-0.26,0.95
"446",2018-05-19,0.26,NA
"447",2018-05-20,0.02,NA
"448",2018-05-21,-0.74,0.858
"449",2018-05-22,-0.69,0.868
"450",2018-05-23,-0.8,0.847
"451",2018-05-24,-0.91,0.828
"452",2018-05-25,-0.96,0.818
"453",2018-05-26,-0.53,0.899
"454",2018-05-27,-0.74,0.86
"455",2018-05-28,-1.21,0.77
"456",2018-05-29,-1.04,0.803
"457",2018-05-30,-1.14,0.783
"458",2018-05-31,-1.29,0.754
"459",2018-06-01,-1.64,0.688
"460",2018-06-02,-1.24,0.763
"461",2018-06-03,-0.96,0.817
"462",2018-06-04,-1.5,0.713
"463",2018-06-05,-1.35,0.743
"464",2018-06-06,-1.09,0.792
"465",2018-06-07,-1.04,0.802
"466",2018-06-08,-1.18,0.776
"467",2018-06-09,-1.09,0.792
"468",2018-06-10,-1.17,0.777
"469",2018-06-11,-1.61,0.693
"470",2018-06-12,-1.45,0.724
"471",2018-06-13,-1.24,0.763
"472",2018-06-14,-1.19,0.774
"473",2018-06-15,-1.21,0.77
"474",2018-06-16,-0.84,0.84
